domain,block_path,Bounding_Boxes
www.gammill.net,dataset-random/www.gammill.net/www.gammill.net/index.blocks.html,"[[659, 132, 48, 15], [599, 132, 57, 15], [534, 132, 62, 15], [781, 134, 12, 12], [697, 169, 107, 24], [764, 192, 27, 146], [222, 188, 479, 151], [605, 331, 64, 9], [687, 333, 80, 8], [321, 336, 29, 3], [289, 506, 70, 22], [527, 585, 57, 54], [127, 331, 772, 559], [701, 697, 70, 20], [704, 856, 60, 20]]"
www.vt.government.bg,dataset-random/www.vt.government.bg/www.vt.government.bg/index.blocks.html,"[[744, 119, 154, 62], [138, 120, 77, 6], [127, 142, 195, 101], [329, 161, 360, 69], [728, 185, 166, 21], [740, 208, 156, 70], [495, 240, 176, 13], [483, 242, 11, 10], [131, 252, 178, 49], [349, 235, 344, 66], [132, 306, 190, 30], [343, 305, 355, 50], [176, 341, 99, 32], [411, 361, 279, 54], [699, 280, 199, 209], [327, 423, 113, 23], [516, 433, 176, 37], [612, 471, 11, 11], [329, 497, 111, 22], [329, 560, 111, 38], [348, 745, 92, 21], [329, 745, 12, 17], [348, 815, 92, 22], [329, 815, 17, 21]]"
www.berlys.es,dataset-random/www.berlys.es/www.berlys.es/index.blocks.html,"[[354, 374, 19, 25], [359, 469, 16, 4], [130, 148, 368, 405], [132, 554, 94, 24], [131, 579, 582, 309], [656, 591, 234, 54], [876, 700, 15, 23]]"
bbcgf.org,dataset-random/bbcgf.org/bbcgf.org/index.blocks.html,"[[133, 143, 760, 119], [691, 269, 85, 19], [680, 270, 10, 12], [133, 266, 760, 234], [244, 504, 536, 146], [783, 511, 110, 138], [133, 511, 110, 138], [127, 654, 772, 24], [133, 683, 760, 168], [133, 861, 760, 24]]"
directory.virgilio.it,dataset-random/directory.virgilio.it/directory.virgilio.it/index.blocks.html,"[[133, 307, 103, 18], [131, 335, 373, 122], [131, 531, 377, 187], [511, 541, 92, 84], [511, 624, 66, 29]]"
www.amazingweb.com,dataset-random/www.amazingweb.com/www.amazingweb.com/index.blocks.html,"[[588, 194, 22, 11], [298, 173, 133, 108], [309, 362, 407, 362]]"
www.finance.gov.tt,dataset-random/www.finance.gov.tt/www.finance.gov.tt/index.blocks.html,"[[285, 120, 510, 42], [229, 121, 52, 27], [133, 220, 750, 210], [524, 473, 103, 63], [411, 473, 103, 63], [658, 535, 13, 19], [232, 597, 150, 21], [289, 764, 87, 11], [250, 764, 12, 11], [375, 838, 14, 12], [684, 838, 12, 12]]"
digilander.libero.it,dataset-random/digilander.libero.it/digilander.libero.it/index.blocks.html,"[[127, 119, 771, 64], [139, 192, 748, 122], [127, 324, 771, 39], [139, 373, 748, 78], [127, 461, 771, 39], [139, 510, 748, 18], [127, 539, 771, 102], [130, 640, 766, 67], [138, 729, 244, 84], [644, 729, 244, 84], [127, 823, 771, 67]]"
www.scotlandshop.com,dataset-random/www.scotlandshop.com/www.scotlandshop.com/index.blocks.html,"[[248, 119, 530, 763]]"
www.fishdevon.co.uk,dataset-random/www.fishdevon.co.uk/www.fishdevon.co.uk/index.blocks.html,"[[419, 173, 207, 32], [243, 174, 106, 31], [350, 180, 53, 24], [127, 346, 87, 117], [239, 254, 459, 636]]"
www.uk-rgf.ru,dataset-random/www.uk-rgf.ru/www.uk-rgf.ru/index.blocks.html,"[[127, 187, 24, 34], [357, 188, 131, 2], [322, 155, 291, 104], [276, 195, 50, 57], [719, 279, 39, 35], [508, 280, 45, 36], [731, 368, 127, 95], [524, 373, 194, 78], [127, 291, 355, 351], [145, 636, 354, 220]]"
