Image Name,Number of Clusters,Bounding Boxes,Boxes with text
www.gammill.net,4,"[(659, 132, 48, 15), (599, 132, 57, 15), (534, 132, 62, 15), (781, 134, 12, 12), (697, 169, 107, 24), (764, 192, 27, 146), (222, 188, 479, 151), (605, 331, 64, 9), (687, 333, 80, 8), (321, 336, 29, 3), (289, 506, 70, 22), (527, 585, 57, 54), (127, 331, 772, 559), (701, 697, 70, 20), (704, 856, 60, 20)]","[{'box_coordinates': (659, 132, 48, 15), 'text': ''}, {'box_coordinates': (599, 132, 57, 15), 'text': ''}, {'box_coordinates': (534, 132, 62, 15), 'text': ''}, {'box_coordinates': (781, 134, 12, 12), 'text': ''}, {'box_coordinates': (697, 169, 107, 24), 'text': ''}, {'box_coordinates': (764, 192, 27, 146), 'text': ''}, {'box_coordinates': (222, 188, 479, 151), 'text': ''}, {'box_coordinates': (605, 331, 64, 9), 'text': ''}, {'box_coordinates': (687, 333, 80, 8), 'text': ''}, {'box_coordinates': (321, 336, 29, 3), 'text': ''}, {'box_coordinates': (289, 506, 70, 22), 'text': ''}, {'box_coordinates': (527, 585, 57, 54), 'text': ''}, {'box_coordinates': (127, 331, 772, 559), 'text': 'Dealer Locator ‘Quilting Machines | Shows & Glasses Contact Us\n\nPe'}, {'box_coordinates': (701, 697, 70, 20), 'text': ''}, {'box_coordinates': (704, 856, 60, 20), 'text': ''}]"
www.vt.government.bg,14,"[(744, 119, 154, 62), (138, 120, 77, 6), (127, 142, 195, 101), (329, 161, 360, 69), (728, 185, 166, 21), (740, 208, 156, 70), (495, 240, 176, 13), (483, 242, 11, 10), (131, 252, 178, 49), (349, 235, 344, 66), (132, 306, 190, 30), (343, 305, 355, 50), (176, 341, 99, 32), (411, 361, 279, 54), (699, 280, 199, 209), (327, 423, 113, 23), (516, 433, 176, 37), (612, 471, 11, 11), (329, 497, 111, 22), (329, 560, 111, 38), (348, 745, 92, 21), (329, 745, 12, 17), (348, 815, 92, 22), (329, 815, 17, 21)]","[{'box_coordinates': (744, 119, 154, 62), 'text': ''}, {'box_coordinates': (138, 120, 77, 6), 'text': ''}, {'box_coordinates': (127, 142, 195, 101), 'text': ''}, {'box_coordinates': (329, 161, 360, 69), 'text': ''}, {'box_coordinates': (728, 185, 166, 21), 'text': ''}, {'box_coordinates': (740, 208, 156, 70), 'text': ''}, {'box_coordinates': (495, 240, 176, 13), 'text': ''}, {'box_coordinates': (483, 242, 11, 10), 'text': ''}, {'box_coordinates': (131, 252, 178, 49), 'text': ''}, {'box_coordinates': (349, 235, 344, 66), 'text': ''}, {'box_coordinates': (132, 306, 190, 30), 'text': ''}, {'box_coordinates': (343, 305, 355, 50), 'text': ''}, {'box_coordinates': (176, 341, 99, 32), 'text': ''}, {'box_coordinates': (411, 361, 279, 54), 'text': 'aa\n\neee s'}, {'box_coordinates': (699, 280, 199, 209), 'text': ''}, {'box_coordinates': (327, 423, 113, 23), 'text': ''}, {'box_coordinates': (516, 433, 176, 37), 'text': ''}, {'box_coordinates': (612, 471, 11, 11), 'text': ''}, {'box_coordinates': (329, 497, 111, 22), 'text': ''}, {'box_coordinates': (329, 560, 111, 38), 'text': ''}, {'box_coordinates': (348, 745, 92, 21), 'text': ''}, {'box_coordinates': (329, 745, 12, 17), 'text': ''}, {'box_coordinates': (348, 815, 92, 22), 'text': ''}, {'box_coordinates': (329, 815, 17, 21), 'text': ''}]"
www.berlys.es,2,"[(354, 374, 19, 25), (359, 469, 16, 4), (130, 148, 368, 405), (132, 554, 94, 24), (131, 579, 582, 309), (656, 591, 234, 54), (876, 700, 15, 23)]","[{'box_coordinates': (354, 374, 19, 25), 'text': ''}, {'box_coordinates': (359, 469, 16, 4), 'text': ''}, {'box_coordinates': (130, 148, 368, 405), 'text': ''}, {'box_coordinates': (132, 554, 94, 24), 'text': ''}, {'box_coordinates': (131, 579, 582, 309), 'text': ''}, {'box_coordinates': (656, 591, 234, 54), 'text': ''}, {'box_coordinates': (876, 700, 15, 23), 'text': ''}]"
bbcgf.org,6,"[(133, 143, 760, 119), (691, 269, 85, 19), (680, 270, 10, 12), (133, 266, 760, 234), (244, 504, 536, 146), (783, 511, 110, 138), (133, 511, 110, 138), (127, 654, 772, 24), (133, 683, 760, 168), (133, 861, 760, 24)]","[{'box_coordinates': (133, 143, 760, 119), 'text': ''}, {'box_coordinates': (691, 269, 85, 19), 'text': ''}, {'box_coordinates': (680, 270, 10, 12), 'text': ''}, {'box_coordinates': (133, 266, 760, 234), 'text': ""We're so pleased you found us!""}, {'box_coordinates': (244, 504, 536, 146), 'text': ''}, {'box_coordinates': (783, 511, 110, 138), 'text': ''}, {'box_coordinates': (133, 511, 110, 138), 'text': ''}, {'box_coordinates': (127, 654, 772, 24), 'text': ''}, {'box_coordinates': (133, 683, 760, 168), 'text': 'etre’\neto\nerred\n\nreread\n\ncoe Coa ei aee\n\nPoenterd\nparte\n\ned\nPerens'}, {'box_coordinates': (133, 861, 760, 24), 'text': 'Seed'}]"
directory.virgilio.it,4,"[(133, 307, 103, 18), (131, 335, 373, 122), (131, 531, 377, 187), (511, 541, 92, 84), (511, 624, 66, 29)]","[{'box_coordinates': (133, 307, 103, 18), 'text': ''}, {'box_coordinates': (131, 335, 373, 122), 'text': ''}, {'box_coordinates': (131, 531, 377, 187), 'text': ''}, {'box_coordinates': (511, 541, 92, 84), 'text': 'Pscsloes Si\n\n‘conus Ea'}, {'box_coordinates': (511, 624, 66, 29), 'text': ''}]"
www.amazingweb.com,1,"[(588, 194, 22, 11), (298, 173, 133, 108), (309, 362, 407, 362)]","[{'box_coordinates': (588, 194, 22, 11), 'text': ''}, {'box_coordinates': (298, 173, 133, 108), 'text': ''}, {'box_coordinates': (309, 362, 407, 362), 'text': '[Welcome to ‘Amazingweb ‘Tuesday, July 9,204 Monday, June 3, 2013\n\nPe\n\n      \n \n  \n\n  \n  \n\nret rave todays fas yaad and Figholie. Having 2\nfucesh ste that simoatie and interesting is alto tet\ncs, anda home for that st is equal important. Fig a\nlate hos and service fr your eet acuta Stet te (IO\nft techoy and dtated service ar necestes for suvivalin\n\niy saenng rate gain peat | $000 an &\npu and your rari is yt succes m5\n\n  \n   \n \n\n  \n \n    \n\n \n   \n \n\n     \n \n\nazingteb designs and builds that kindof success.\n\n  \n  \n \n\n  \n  \n \n\n      \n   \n\n""Weare deghted wth ur Web Ste repre\nand the services you provide, "" emia\n\nConn epee'}]"
www.finance.gov.tt,1,"[(285, 120, 510, 42), (229, 121, 52, 27), (133, 220, 750, 210), (524, 473, 103, 63), (411, 473, 103, 63), (658, 535, 13, 19), (232, 597, 150, 21), (289, 764, 87, 11), (250, 764, 12, 11), (375, 838, 14, 12), (684, 838, 12, 12)]","[{'box_coordinates': (285, 120, 510, 42), 'text': ''}, {'box_coordinates': (229, 121, 52, 27), 'text': ''}, {'box_coordinates': (133, 220, 750, 210), 'text': 'New CAL Board Appointment'}, {'box_coordinates': (524, 473, 103, 63), 'text': ''}, {'box_coordinates': (411, 473, 103, 63), 'text': ''}, {'box_coordinates': (658, 535, 13, 19), 'text': ''}, {'box_coordinates': (232, 597, 150, 21), 'text': ''}, {'box_coordinates': (289, 764, 87, 11), 'text': ''}, {'box_coordinates': (250, 764, 12, 11), 'text': ''}, {'box_coordinates': (375, 838, 14, 12), 'text': ''}, {'box_coordinates': (684, 838, 12, 12), 'text': ''}]"
digilander.libero.it,0,"[(127, 119, 771, 64), (139, 192, 748, 122), (127, 324, 771, 39), (139, 373, 748, 78), (127, 461, 771, 39), (139, 510, 748, 18), (127, 539, 771, 102), (130, 640, 766, 67), (138, 729, 244, 84), (644, 729, 244, 84), (127, 823, 771, 67)]","[{'box_coordinates': (127, 119, 771, 64), 'text': ''}, {'box_coordinates': (139, 192, 748, 122), 'text': ''}, {'box_coordinates': (127, 324, 771, 39), 'text': ''}, {'box_coordinates': (139, 373, 748, 78), 'text': ''}, {'box_coordinates': (127, 461, 771, 39), 'text': ''}, {'box_coordinates': (139, 510, 748, 18), 'text': ''}, {'box_coordinates': (127, 539, 771, 102), 'text': ''}, {'box_coordinates': (130, 640, 766, 67), 'text': ''}, {'box_coordinates': (138, 729, 244, 84), 'text': ''}, {'box_coordinates': (644, 729, 244, 84), 'text': ''}, {'box_coordinates': (127, 823, 771, 67), 'text': ''}]"
www.scotlandshop.com,1,"[(248, 119, 530, 763)]","[{'box_coordinates': (248, 119, 530, 763), 'text': 'Purency GBP AC aqua (aaa\n\nScotlandShop\n\nGil Taspved fom the Heart of Scola'}]"
www.fishdevon.co.uk,4,"[(419, 173, 207, 32), (243, 174, 106, 31), (350, 180, 53, 24), (127, 346, 87, 117), (239, 254, 459, 636)]","[{'box_coordinates': (419, 173, 207, 32), 'text': 'rout and Coarse Fishe'}, {'box_coordinates': (243, 174, 106, 31), 'text': ''}, {'box_coordinates': (350, 180, 53, 24), 'text': ''}, {'box_coordinates': (127, 346, 87, 117), 'text': ''}, {'box_coordinates': (239, 254, 459, 636), 'text': 'uperb Coarse and Fly Fishing in\n\nDitiat Saoludad Sumaimdinas\n\nWelcome to our beautiful, quiet and secluded iakes at Greenacre Farm, Highampton, Beaworthy\n\nWe are sure you would enjoy our coarse lake and our two trout lakes\n\nHiphanptn Lakes le approximately 1.5 miles south of the vilage of Hghampton nthe beaut aly of Wagar Watey\ntrbtary ofthe River Lew wtich it joins 3,000 yards downstream,\n\n2 Fhery compris te trout lakes and on oars ake extending to 4 aces\ntrout lakes are stocked eg wth strenuous hing qualty rainbow tout of various weighs\n\ncoarse lake sched wth varios spe, The ake ceca fr carp was 2 hard fighting commen, weighing 20s\nen ast cup.'}]"
